doc_id,item,category,amount,price,discount
NAM022AOBA,Ночник настенный LED,Освещение и электрика,1,378.31,0.0
NAM022AOBA,Штора для ванной комнаты 180х180,Текстиль,4,611.01,0.0
NAM022AOBA,Тряпка для пола микрофибра,Хозтовары,3,187.15,10.94
NAM022AOBA,Панно декоративное настенное,Декор для дома,2,1037.9,0.0
NAM022AOBA,Чистящее средство Cif 750мл,Бытовая химия,5,222.62,170.45
WBE5IZCD29,Ваза керамическая настольная,Декор для дома,4,1015.54,0.0
WBE5IZCD29,Свеча ароматическая в банке,Декор для дома,1,420.0,0.0
WBE5IZCD29,Кружка керамическая 350мл,Посуда,4,202.8,0.0
WBE5IZCD29,Средство для мытья посуды Fairy 500мл,Бытовая химия,4,163.27,50.88
WBE5IZCD29,Таблетки для посудомоечных машин Finish 30шт,Бытовая химия,3,927.27,0.0
VZC8ORWFA2,Средство для мытья окон Mr.Muscle 500мл,Бытовая химия,2,186.0,68.85
VZC8ORWFA2,Панно декоративное настенное,Декор для дома,5,1243.71,247.54
K5GNM84AUD,Перчатки резиновые хозяйственные,Хозтовары,3,91.05,37.12
K5GNM84AUD,Подушка ортопедическая 50х70,Текстиль,2,969.41,0.0
K5GNM84AUD,Плед флисовый 150х200,Текстиль,2,1081.49,136.29
K5GNM84AUD,Кастрюля с крышкой 3л,Посуда,1,1595.72,0.0
K5GNM84AUD,Наматрасник непромокаемый 160х200,Текстиль,4,853.46,151.9
K5GNM84AUD,Кондиционер для белья Lenor 1л,Бытовая химия,3,307.55,0.0
E922BT4IJW,Средство для мытья посуды Fairy 500мл,Бытовая химия,4,201.03,0.0
E922BT4IJW,Чехол для гладильной доски,Текстиль,1,310.2,75.04
E922BT4IJW,Средство от накипи Antikalk 500мл,Бытовая химия,4,183.03,0.0
E922BT4IJW,Полотенце кухонное вафельное,Текстиль,3,106.71,0.0
E922BT4IJW,Форма для выпечки силиконовая,Посуда,1,439.84,47.83
X7A9HWLJ94,Батарейки AA комплект 4шт,Освещение и электрика,5,236.23,105.68
X7A9HWLJ94,Кастрюля с крышкой 3л,Посуда,5,1757.48,0.0
YCX5H7TS2T,Рамка для фото 15х20,Декор для дома,1,284.2,0.0
YCX5H7TS2T,Кондиционер для белья Lenor 1л,Бытовая химия,1,323.29,11.78
YCX5H7TS2T,Лампа светодиодная E27 10Вт,Освещение и электрика,4,145.65,0.0
YCX5H7TS2T,Светильник настольный,Освещение и электрика,3,1012.14,184.43
XKH8AB8RG6,Светильник настольный,Освещение и электрика,2,943.71,0.0
XKH8AB8RG6,Таблетки для посудомоечных машин Finish 30шт,Бытовая химия,3,957.0,589.38
PDNNHTV18J,Сковорода антипригарная 26см,Посуда,3,1370.22,0.0
PDNNHTV18J,Ночник настенный LED,Освещение и электрика,3,317.1,0.0
PDNNHTV18J,Одеяло стёганое 200х220,Текстиль,2,2239.73,345.78
PDNNHTV18J,Свеча ароматическая в банке,Декор для дома,4,386.08,0.0
PDNNHTV18J,Подсвечник металлический,Декор для дома,3,387.22,0.0
YWJ6QZCNSP,Сковорода антипригарная 26см,Посуда,1,1430.6,252.39
YWJ6QZCNSP,Набор ножей кухонных 5 предметов,Посуда,5,1997.44,813.06
YWJ6QZCNSP,Кондиционер для белья Lenor 1л,Бытовая химия,5,348.5,0.0
WJY6UJRQSZ,Ваза керамическая настольная,Декор для дома,5,790.9,0.0
WJY6UJRQSZ,Отбеливатель Vanish 1л,Бытовая химия,4,298.33,0.0
WJY6UJRQSZ,Коврик придверный,Декор для дома,1,507.36,0.0
Y0ABAZWWAR,Коврик придверный,Декор для дома,1,445.72,0.0
Y0ABAZWWAR,Гель для стирки Persil 1.5л,Бытовая химия,2,478.96,0.0
Y0ABAZWWAR,Губки для посуды набор 5шт,Хозтовары,1,105.82,0.96
Y0ABAZWWAR,Средство для мытья окон Mr.Muscle 500мл,Бытовая химия,5,217.67,0.0
Y0ABAZWWAR,Судочки для хранения еды набор 3шт,Посуда,5,476.25,250.33
OCDOMCGIIB,Чехол для гладильной доски,Текстиль,3,306.0,101.69
OCDOMCGIIB,Стиральный порошок Ariel 3кг,Бытовая химия,1,723.28,0.0
OCDOMCGIIB,Лампа светодиодная E27 10Вт,Освещение и электрика,3,168.38,74.71
OCDOMCGIIB,Скатерть гобеленовая 150х180,Текстиль,1,1268.05,0.0
OCDOMCGIIB,Панно декоративное настенное,Декор для дома,4,1178.54,0.0
